year,reporter_iso,reporter_fullname_english,partner_iso,partner_fullname_english,export_value_usd,import_value_usd,import_rank,export_rank,import_points,export_points
2003,are,United Arab Emirates,chn,China,757993520,5002090337,3,1,1,3
2004,are,United Arab Emirates,chn,China,1275731960,6767069925,3,2,1,2
2008,are,United Arab Emirates,chn,China,5240422643,28257973403,3,2,1,2
2014,are,United Arab Emirates,chn,China,16017160363,42550764502,3,2,1,2
2015,are,United Arab Emirates,chn,China,12237978919,41195894176,3,2,1,2
2017,are,United Arab Emirates,chn,China,14916833347,53399555507,3,2,1,2
2018,are,United Arab Emirates,chn,China,18870082123,43917689041,3,2,1,2
2007,aus,Australia,chn,China,25743045103,26672902346,3,3,1,1
2008,aus,Australia,chn,China,35916039493,32315492410,3,3,1,1
2009,aus,Australia,chn,China,38640780592,30044159075,3,3,1,1
2010,aus,Australia,chn,China,59319278827,38506501372,3,3,1,1
2011,aus,Australia,chn,China,81010087209,45647889456,3,3,1,1
2012,aus,Australia,chn,China,87813638841,49359875651,3,3,1,1
2013,aus,Australia,chn,China,102958881448,49076368677,3,3,1,1
2014,aus,Australia,chn,China,99112464666,50722020479,3,3,1,1
2015,aus,Australia,chn,China,77583972615,51228299803,3,3,1,1
2016,aus,Australia,chn,China,71137335157,47195792424,3,3,1,1
2017,aus,Australia,chn,China,92382649309,52089688933,3,3,1,1
2018,aus,Australia,chn,China,117271647583,59756015020,3,3,1,1
1999,bgd,Bangladesh,chn,China,11259441,684721960,3,1,1,3
2000,bgd,Bangladesh,chn,China,16736773,862949593,3,1,1,3
2002,bgd,Bangladesh,chn,China,40480591,1379269751,3,2,1,2
2004,bgd,Bangladesh,chn,China,85885986,2518357157,3,1,1,3
2005,bgd,Bangladesh,chn,China,99221798,3073212509,3,1,1,3
2006,bgd,Bangladesh,chn,China,819970378,3528781881,3,2,1,2
2007,bgd,Bangladesh,chn,China,105714092,3349758080,3,1,1,3
2008,bgd,Bangladesh,chn,China,147826947,6268111494,3,1,1,3
2009,bgd,Bangladesh,chn,China,170675574,5703389819,3,1,1,3
2010,bgd,Bangladesh,chn,China,347864658,8360953689,3,1,1,3
2011,bgd,Bangladesh,chn,China,533723570,8820122277,3,1,1,3
2012,bgd,Bangladesh,chn,China,597810734,10200900933,3,1,1,3
2013,bgd,Bangladesh,chn,China,724553148,12378723860,3,2,1,2
2014,bgd,Bangladesh,chn,China,704729738,11782272267,3,2,1,2
2015,bgd,Bangladesh,chn,China,1018016108,17533096722,3,2,1,2
2016,bgd,Bangladesh,chn,China,804997964,14300635412,3,2,1,2
2017,bgd,Bangladesh,chn,China,810319448,15169021003,3,2,1,2
2018,bgd,Bangladesh,chn,China,912412776,17759539782,3,2,1,2
2009,bhr,Bahrain,chn,China,236622312,927308709,3,1,1,3
2011,bhr,Bahrain,chn,China,527947487,1606344909,3,1,1,3
2012,bhr,Bahrain,chn,China,490484702,1917912346,3,1,1,3
2013,bhr,Bahrain,chn,China,693064910,1872136705,3,1,1,3
2014,bhr,Bahrain,chn,China,1065829045,2010029947,3,2,1,2
2015,bhr,Bahrain,chn,China,126996522,1769327546,3,1,1,3
2017,bhr,Bahrain,chn,China,404651886,1717832068,3,1,1,3
1989,com,Comoros,chn,China,0,695429,3,1,1,3
1992,com,Comoros,chn,China,35172,3160752,3,1,1,3
1994,com,Comoros,chn,China,6369,244270,3,1,1,3
2006,com,Comoros,chn,China,633,7098532,3,1,1,3
2008,com,Comoros,chn,China,0,25444111,3,1,1,3
2010,com,Comoros,chn,China,22305,13347275,3,1,1,3
2013,com,Comoros,chn,China,7219,29860120,3,1,1,3
2014,com,Comoros,chn,China,8288,40685148,3,1,1,3
2015,com,Comoros,chn,China,20568,45703403,3,1,1,3
2016,com,Comoros,chn,China,12178,48374932,3,1,1,3
2017,com,Comoros,chn,China,34781,67758298,3,1,1,3
2018,com,Comoros,chn,China,25896,79198901,3,1,1,3
1987,dji,Djibouti,chn,China,1125,9386283,3,1,1,3
1988,dji,Djibouti,chn,China,62611,9834831,3,1,1,3
1989,dji,Djibouti,chn,China,0,9713634,3,1,1,3
1990,dji,Djibouti,chn,China,262006,11157873,3,3,1,1
1991,dji,Djibouti,chn,China,0,13371531,3,1,1,3
1992,dji,Djibouti,chn,China,5900,15840546,3,2,1,2
1994,dji,Djibouti,chn,China,94622,10487729,3,2,1,2
1995,dji,Djibouti,chn,China,42825,10306351,3,2,1,2
1996,dji,Djibouti,chn,China,0,10482176,3,1,1,3
1997,dji,Djibouti,chn,China,4330,14031792,3,2,1,2
1998,dji,Djibouti,chn,China,5685,30855875,3,1,1,3
1999,dji,Djibouti,chn,China,1475,38966433,3,1,1,3
2000,dji,Djibouti,chn,China,20608,54606866,3,1,1,3
2001,dji,Djibouti,chn,China,20078,47131796,3,1,1,3
2003,dji,Djibouti,chn,China,137678,58845363,3,1,1,3
2009,dji,Djibouti,chn,China,108930,305471871,3,1,1,3
2010,dji,Djibouti,chn,China,639643,444061130,3,1,1,3
2011,dji,Djibouti,chn,China,162986,508853299,3,1,1,3
2012,dji,Djibouti,chn,China,571686,902579630,3,1,1,3
2013,dji,Djibouti,chn,China,253455,1018883781,3,1,1,3
2014,dji,Djibouti,chn,China,1560099,1112181416,3,2,1,2
2015,dji,Djibouti,chn,China,831659,1980815513,3,1,1,3
2016,dji,Djibouti,chn,China,124174,2148396599,3,1,1,3
2017,dji,Djibouti,chn,China,14355,2175409974,3,1,1,3
2018,dji,Djibouti,chn,China,189343,1871676062,3,1,1,3
2011,egy,Egypt,chn,China,1673514291,9644551225,3,1,1,3
2012,egy,Egypt,chn,China,1720054704,10923015121,3,1,1,3
2013,egy,Egypt,chn,China,1862291240,11362345477,3,1,1,3
2014,egy,Egypt,chn,China,1209743098,13800138825,3,1,1,3
2015,egy,Egypt,chn,China,961005240,16042259314,3,1,1,3
2016,egy,Egypt,chn,China,709527818,13308649349,3,1,1,3
2017,egy,Egypt,chn,China,1366305258,12724380602,3,2,1,2
2018,egy,Egypt,chn,China,1906471653,16339997526,3,2,1,2
2006,eri,Eritrea,chn,China,655663,27061046,3,3,1,1
2008,eri,Eritrea,chn,China,2290607,28978356,3,2,1,2
2009,eri,Eritrea,chn,China,390960,39478196,3,2,1,2
2011,eri,Eritrea,chn,China,806102,148155974,3,2,1,2
2012,eri,Eritrea,chn,China,1166102,53531828,3,2,1,2
2013,eri,Eritrea,chn,China,47161323,137956671,3,3,1,1
2014,eri,Eritrea,chn,China,297856655,88144183,3,3,1,1
2015,eri,Eritrea,chn,China,165491040,134303501,3,3,1,1
2016,eri,Eritrea,chn,China,162476742,69320970,3,3,1,1
2017,eri,Eritrea,chn,China,158046600,42947305,3,3,1,1
2018,eri,Eritrea,chn,China,291275888,42840773,3,3,1,1
2007,fra,France (includes Monaco),chn,China,16074411649,39549717458,3,2,1,2
2008,fra,France (includes Monaco),chn,China,18167182742,45718432321,3,2,1,2
2010,fra,France (includes Monaco),chn,China,19805024764,49431705467,3,2,1,2
2011,fra,France (includes Monaco),chn,China,25416733105,55989309763,3,2,1,2
2014,fra,France (includes Monaco),chn,China,29246893014,54923492381,3,2,1,2
2002,idn,Indonesia,chn,China,4083160926,3394027659,3,2,1,2
2003,idn,Indonesia,chn,China,5204600108,4431653420,3,2,1,2
2004,idn,Indonesia,chn,China,6522452533,6165098750,3,2,1,2
2005,idn,Indonesia,chn,China,7678677605,8270071255,3,2,1,2
2006,idn,Indonesia,chn,China,8710584385,9305288279,3,2,1,2
2007,idn,Indonesia,chn,China,11540933325,12695661139,3,2,1,2
2008,idn,Indonesia,chn,China,13261977665,17193114300,3,2,1,2
2009,idn,Indonesia,chn,China,12651651515,14720623749,3,3,1,1
2010,idn,Indonesia,chn,China,22088310665,27810695528,3,3,1,1
2011,idn,Indonesia,chn,China,31332563576,35582632795,3,3,1,1
2012,idn,Indonesia,chn,China,31564769290,41374371337,3,3,1,1
2013,idn,Indonesia,chn,China,32106932065,43704857052,3,3,1,1
2014,idn,Indonesia,chn,China,24664778636,45910071320,3,3,1,1
2015,idn,Indonesia,chn,China,20584887216,41248376011,3,2,1,2
2016,idn,Indonesia,chn,China,22622399055,39834044643,3,3,1,1
2017,idn,Indonesia,chn,China,28718777342,42916452191,3,3,1,1
2018,idn,Indonesia,chn,China,33877953529,53130794826,3,3,1,1
1988,irn,Iran,chn,China,15954334,143182334,3,2,1,2
1989,irn,Iran,chn,China,43762633,132789477,3,2,1,2
1990,irn,Iran,chn,China,40716823,200720787,3,2,1,2
1995,irn,Iran,chn,China,208614549,273538222,3,2,1,2
1996,irn,Iran,chn,China,357527066,358992173,3,2,1,2
1997,irn,Iran,chn,China,532613363,655347536,3,2,1,2
1998,irn,Iran,chn,China,580329730,1063515341,3,3,1,1
1999,irn,Iran,chn,China,653039460,985605072,3,2,1,2
2000,irn,Iran,chn,China,1703528721,1034738923,3,3,1,1
2001,irn,Iran,chn,China,2322552869,1138108704,3,3,1,1
2002,irn,Iran,chn,China,2172347455,1318429282,3,3,1,1
2003,irn,Iran,chn,China,3178132873,2679138804,3,3,1,1
2004,irn,Iran,chn,China,4261027595,2980170234,3,3,1,1
2005,irn,Iran,chn,China,6466783383,4168816557,3,3,1,1
2006,irn,Iran,chn,China,9477757135,4947004305,3,3,1,1
2007,irn,Iran,chn,China,12316230056,7363291644,3,3,1,1
2008,irn,Iran,chn,China,18142773634,8163428066,3,3,1,1
2009,irn,Iran,chn,China,12302358782,7918687116,3,3,1,1
2010,irn,Iran,chn,China,16945269918,11092187779,3,3,1,1
2011,irn,Iran,chn,China,29179593834,16726505989,3,3,1,1
2012,irn,Iran,chn,China,23027230105,11598798609,3,3,1,1
2013,irn,Iran,chn,China,25494417938,17987840574,3,3,1,1
2014,irn,Iran,chn,China,29931210048,28927389288,3,3,1,1
2015,irn,Iran,chn,China,14868006796,17770106932,3,3,1,1
2016,irn,Iran,chn,China,17369016818,19957508493,3,3,1,1
2017,irn,Iran,chn,China,20879381175,23798728667,3,3,1,1
2018,irn,Iran,chn,China,19536003133,14008983835,3,3,1,1
1993,irq,Iraq,chn,China,511890,4771980,3,3,1,1
1994,irq,Iraq,chn,China,649661,1396927,3,3,1,1
1998,irq,Iraq,chn,China,55406892,108584108,3,1,1,3
1999,irq,Iraq,chn,China,107507062,147179700,3,1,1,3
2000,irq,Iraq,chn,China,599659760,326727955,3,2,1,2
2001,irq,Iraq,chn,China,67602798,392904314,3,2,1,2
2002,irq,Iraq,chn,China,89099789,405378995,3,2,1,2
2009,irq,Iraq,chn,China,3053806552,1838448828,3,1,1,3
2010,irq,Iraq,chn,China,5810362166,3589866730,3,1,1,3
2011,irq,Iraq,chn,China,9670031397,3824651342,3,1,1,3
2012,irq,Iraq,chn,China,11718308795,4911784801,3,1,1,3
2013,irq,Iraq,chn,China,16652559532,6894088320,3,2,1,2
2014,irq,Iraq,chn,China,19223369549,7743841287,3,3,1,1
2015,irq,Iraq,chn,China,11735768434,7909228953,3,3,1,1
2016,irq,Iraq,chn,China,9873399020,7547857704,3,3,1,1
2017,irq,Iraq,chn,China,12790844704,8330414675,3,2,1,2
2018,irq,Iraq,chn,China,20801987064,7917674274,3,2,1,2
2003,jor,Jordan,chn,China,57299744,741051225,3,1,1,3
2004,jor,Jordan,chn,China,88051422,1039913163,3,1,1,3
2005,jor,Jordan,chn,China,78676556,1386064935,3,1,1,3
2006,jor,Jordan,chn,China,65492288,1616460393,3,1,1,3
2007,jor,Jordan,chn,China,144699451,1868690817,3,1,1,3
2008,jor,Jordan,chn,China,222979976,2694984141,3,1,1,3
2009,jor,Jordan,chn,China,154815710,2687045546,3,1,1,3
2010,jor,Jordan,chn,China,260501577,2685571776,3,1,1,3
2011,jor,Jordan,chn,China,429533186,3395646382,3,1,1,3
2012,jor,Jordan,chn,China,458450478,3866803309,3,1,1,3
2013,jor,Jordan,chn,China,254005032,4478799248,3,1,1,3
2014,jor,Jordan,chn,China,424400517,4519186168,3,1,1,3
2015,jor,Jordan,chn,China,481250847,4626783357,3,1,1,3
2016,jor,Jordan,chn,China,323945306,4253020789,3,1,1,3
2017,jor,Jordan,chn,China,416776024,4099600502,3,1,1,3
2018,jor,Jordan,chn,China,304298474,4211589802,3,1,1,3
2008,ken,Kenya,chn,China,55526173,1596331820,3,1,1,3
2010,ken,Kenya,chn,China,54466635,2442849930,3,1,1,3
2011,ken,Kenya,chn,China,55269509,2368775109,3,1,1,3
2014,ken,Kenya,chn,China,71332534,4930627241,3,1,1,3
2015,ken,Kenya,chn,China,91428805,5914315875,3,1,1,3
2016,ken,Kenya,chn,China,89940335,5587646821,3,1,1,3
2017,ken,Kenya,chn,China,161546752,6537006147,3,2,1,2
2018,ken,Kenya,chn,China,180134248,6422881372,3,2,1,2
2011,kwt,Kuwait,chn,China,9099944657,4409271784,3,2,1,2
2013,kwt,Kuwait,chn,China,9361768331,4513249592,3,1,1,3
2014,kwt,Kuwait,chn,China,9643092078,5261133479,3,1,1,3
2015,kwt,Kuwait,chn,China,7319477744,6065215971,3,3,1,1
2016,kwt,Kuwait,chn,China,6190276426,5031388975,3,3,1,1
2018,kwt,Kuwait,chn,China,14794937215,6168256916,3,3,1,1
1966,lka,Sri Lanka,chn,China,37161023,42678233,3,3,1,1
1967,lka,Sri Lanka,chn,China,31099566,39471003,3,2,1,2
1968,lka,Sri Lanka,chn,China,32684086,42810669,3,3,1,1
1969,lka,Sri Lanka,chn,China,40366599,49982682,3,3,1,1
1970,lka,Sri Lanka,chn,China,42255936,55274519,3,3,1,1
1971,lka,Sri Lanka,chn,China,30321600,37208962,3,3,1,1
1974,lka,Sri Lanka,chn,China,40274381,54705184,3,2,1,2
1975,lka,Sri Lanka,chn,China,65499088,88001747,3,3,1,1
2016,lka,Sri Lanka,chn,China,318433783,5926656812,3,1,1,3
2017,lka,Sri Lanka,chn,China,536786733,5674409113,3,1,1,3
1974,mdg,Madagascar,chn,China,1635876,27403936,3,2,1,2
1978,mdg,Madagascar,chn,China,7762934,30258199,3,2,1,2
1996,mdg,Madagascar,chn,China,3004857,28692477,3,1,1,3
1997,mdg,Madagascar,chn,China,3138014,41169913,3,1,1,3
1998,mdg,Madagascar,chn,China,5626616,44236788,3,2,1,2
2000,mdg,Madagascar,chn,China,9153226,154354434,3,2,1,2
2001,mdg,Madagascar,chn,China,9946437,121571126,3,2,1,2
2002,mdg,Madagascar,chn,China,13940869,57460786,3,2,1,2
2003,mdg,Madagascar,chn,China,9132048,239376346,3,2,1,2
2004,mdg,Madagascar,chn,China,17943784,333943636,3,2,1,2
2005,mdg,Madagascar,chn,China,40791749,310922635,3,2,1,2
2006,mdg,Madagascar,chn,China,29854722,405517673,3,2,1,2
2007,mdg,Madagascar,chn,China,39557202,584350022,3,2,1,2
2008,mdg,Madagascar,chn,China,73471992,946299612,3,2,1,2
2009,mdg,Madagascar,chn,China,79262607,525834094,3,2,1,2
2010,mdg,Madagascar,chn,China,116995803,519851433,3,3,1,1
2011,mdg,Madagascar,chn,China,131926336,617443863,3,3,1,1
2012,mdg,Madagascar,chn,China,141876060,693484805,3,3,1,1
2013,mdg,Madagascar,chn,China,177044296,801277621,3,2,1,2
2014,mdg,Madagascar,chn,China,132891599,960678137,3,2,1,2
2015,mdg,Madagascar,chn,China,196188341,1072497123,3,2,1,2
2016,mdg,Madagascar,chn,China,184025475,1173494047,3,2,1,2
2017,mdg,Madagascar,chn,China,228519077,1273187339,3,2,1,2
2018,mdg,Madagascar,chn,China,213366534,1284083711,3,2,1,2
2016,mdv,Maldives,chn,China,274598,477414754,3,1,1,3
2017,mdv,Maldives,chn,China,920907,428269441,3,1,1,3
2018,mdv,Maldives,chn,China,6169026,643923234,3,1,1,3
1962,mmr,Myanmar,chn,China,18885968,26939862,3,2,1,2
1963,mmr,Myanmar,chn,China,13215044,23961584,3,2,1,2
1964,mmr,Myanmar,chn,China,16751896,42247048,3,2,1,2
1965,mmr,Myanmar,chn,China,18734315,40887252,3,2,1,2
1972,mmr,Myanmar,chn,China,1036292,17663222,3,2,1,2
1973,mmr,Myanmar,chn,China,2028877,21264907,3,3,1,1
1974,mmr,Myanmar,chn,China,45919657,26919119,3,3,1,1
1987,mmr,Myanmar,chn,China,90286140,87197894,3,3,1,1
1988,mmr,Myanmar,chn,China,127099910,168276709,3,3,1,1
1989,mmr,Myanmar,chn,China,113319276,233874769,3,3,1,1
1990,mmr,Myanmar,chn,China,97761016,223474902,3,3,1,1
1991,mmr,Myanmar,chn,China,98689107,217477972,3,3,1,1
1992,mmr,Myanmar,chn,China,110770339,258233380,3,2,1,2
1993,mmr,Myanmar,chn,China,134112225,319088066,3,3,1,1
1994,mmr,Myanmar,chn,China,124539153,366220219,3,3,1,1
1995,mmr,Myanmar,chn,China,137643155,601088265,3,3,1,1
1996,mmr,Myanmar,chn,China,127314083,511419715,3,2,1,2
1997,mmr,Myanmar,chn,China,67935588,486118359,3,1,1,3
1998,mmr,Myanmar,chn,China,57373879,503408467,3,1,1,3
1999,mmr,Myanmar,chn,China,94085724,395456961,3,1,1,3
2000,mmr,Myanmar,chn,China,115230673,490090368,3,1,1,3
2001,mmr,Myanmar,chn,China,120332664,711763810,3,1,1,3
2002,mmr,Myanmar,chn,China,126692967,693037932,3,1,1,3
2003,mmr,Myanmar,chn,China,156748606,887992606,3,1,1,3
2004,mmr,Myanmar,chn,China,191316461,854789998,3,2,1,2
2005,mmr,Myanmar,chn,China,253649868,922030605,3,2,1,2
2006,mmr,Myanmar,chn,China,233040341,1185630998,3,2,1,2
2007,mmr,Myanmar,chn,China,350129732,1700118421,3,2,1,2
2008,mmr,Myanmar,chn,China,599582444,1977766301,3,2,1,2
2009,mmr,Myanmar,chn,China,598261415,2261242729,3,2,1,2
2010,mmr,Myanmar,chn,China,1030507476,3925803813,3,2,1,2
2011,mmr,Myanmar,chn,China,2870884818,5994795348,3,3,1,1
2012,mmr,Myanmar,chn,China,2162111920,7116826609,3,2,1,2
2013,mmr,Myanmar,chn,China,4952990357,9307856558,3,3,1,1
2014,mmr,Myanmar,chn,China,17418125958,12317309525,3,3,1,1
2015,mmr,Myanmar,chn,China,8894922005,12608572371,3,3,1,1
2016,mmr,Myanmar,chn,China,8027250801,10821397938,3,3,1,1
2017,mmr,Myanmar,chn,China,8383290007,11920141005,3,3,1,1
2018,mmr,Myanmar,chn,China,8079323723,13472983627,3,3,1,1
2010,moz,Mozambique,chn,China,186182920,496391036,3,3,1,1
2011,moz,Mozambique,chn,China,238186316,700247026,3,3,1,1
2012,moz,Mozambique,chn,China,902557455,1068669184,3,3,1,1
2014,moz,Mozambique,chn,China,1643891601,2175744202,3,3,1,1
2015,moz,Mozambique,chn,China,463183859,2438838565,3,2,1,2
2016,moz,Mozambique,chn,China,512678370,1425623392,3,2,1,2
2017,moz,Mozambique,chn,China,622951772,1479304312,3,2,1,2
2018,moz,Mozambique,chn,China,704005021,2070361256,3,2,1,2
1974,mus,Mauritius,chn,China,0,25008494,3,1,1,3
1978,mus,Mauritius,chn,China,0,22943618,3,1,1,3
1983,mus,Mauritius,chn,China,7890,19686059,3,1,1,3
1984,mus,Mauritius,chn,China,0,19703865,3,1,1,3
1985,mus,Mauritius,chn,China,0,18723122,3,1,1,3
1986,mus,Mauritius,chn,China,0,28862761,3,1,1,3
1989,mus,Mauritius,chn,China,48035,46697113,3,1,1,3
2002,mus,Mauritius,chn,China,10119919,214839700,3,2,1,2
2015,mus,Mauritius,chn,China,25560854,1150644808,3,1,1,3
2016,mus,Mauritius,chn,China,52555732,1096463528,3,2,1,2
2017,mus,Mauritius,chn,China,38681772,1103456756,3,2,1,2
1967,mys,Malaysia,chn,China,6601463,82233434,3,1,1,3
2005,mys,Malaysia,chn,China,12551239173,14823015244,3,2,1,2
2006,mys,Malaysia,chn,China,14701835544,18244278000,3,2,1,2
2007,mys,Malaysia,chn,China,26595633671,17744198459,3,2,1,2
2008,mys,Malaysia,chn,China,29723516140,21455168798,3,3,1,1
2009,mys,Malaysia,chn,China,33438729143,25857171686,3,3,1,1
2010,mys,Malaysia,chn,China,52111577542,31126661185,3,3,1,1
2011,mys,Malaysia,chn,China,61761560844,36935434722,3,3,1,1
2012,mys,Malaysia,chn,China,58524661026,47988308065,3,3,1,1
2013,mys,Malaysia,chn,China,62172533340,56800963077,3,3,1,1
2014,mys,Malaysia,chn,China,56080644401,56857298237,3,3,1,1
2015,mys,Malaysia,chn,China,53755028550,52767598607,3,3,1,1
2016,mys,Malaysia,chn,China,50650223495,46752903716,3,3,1,1
2017,mys,Malaysia,chn,China,56255997391,52557461209,3,3,1,1
2018,mys,Malaysia,chn,China,65589144885,57653826362,3,3,1,1
2015,omn,Oman,chn,China,14727287308,4158551849,3,3,1,1
2016,omn,Oman,chn,China,11302933817,3751028191,3,3,1,1
2018,omn,Oman,chn,China,17544787583,3234120475,3,3,1,1
1999,pak,Pakistan (former East and West Pakistan until 1962),chn,China,359883037,507269791,3,2,1,2
2000,pak,Pakistan (former East and West Pakistan until 1962),chn,China,452636807,615895522,3,2,1,2
