year,reporter_fullname_english,period,India (excludes Sikkim until 1975)_export_value_usd,India (excludes Sikkim until 1975)_import_value_usd,India (excludes Sikkim until 1975)_import_points,India (excludes Sikkim until 1975)_export_points,"USA, Puerto Rico and US Virgin Islands (excludes Virgin Islands until 1981)_export_value_usd","USA, Puerto Rico and US Virgin Islands (excludes Virgin Islands until 1981)_import_value_usd","USA, Puerto Rico and US Virgin Islands (excludes Virgin Islands until 1981)_import_points","USA, Puerto Rico and US Virgin Islands (excludes Virgin Islands until 1981)_export_points",China_export_value_usd,China_import_value_usd,China_import_points,China_export_points
1970,United Arab Emirates,1962-1971,50184,5163725,3,3,NA,NA,NA,NA,NA,NA,NA,NA
1971,United Arab Emirates,1962-1971,19913,8802023,3,3,NA,NA,NA,NA,NA,NA,NA,NA
1972,United Arab Emirates,1972-1991,39915,11449491,3,3,24901842,77573117,2,2,NA,NA,NA,NA
1973,United Arab Emirates,1972-1991,43913,17492085,3,3,61553320,131202475,2,2,NA,NA,NA,NA
1974,United Arab Emirates,1972-1991,61248,55390455,3,3,336770299,234250563,2,2,NA,NA,NA,NA
1975,United Arab Emirates,1972-1991,21342,64226416,3,3,627323589,366010553,2,2,NA,NA,NA,NA
1976,United Arab Emirates,1972-1991,210280,140148008,3,3,1252600400,427833304,2,2,NA,NA,NA,NA
1977,United Arab Emirates,1972-1991,906077,172661025,3,3,1503906334,528422379,2,2,NA,NA,NA,NA
1978,United Arab Emirates,1972-1991,76118393,142536190,3,3,1873748474,490265419,2,2,NA,NA,NA,NA
1979,United Arab Emirates,1972-1991,89788105,146467172,2,2,1988537521,668663586,1,1,0,88511538,3,3
1980,United Arab Emirates,1972-1991,364668752,146832327,2,2,1958188433,1055356854,1,1,0,110259099,3,3
1981,United Arab Emirates,1972-1991,527587696,155504066,2,2,1827896342,1056704460,1,1,1797,120321858,3,3
1982,United Arab Emirates,1972-1991,37932956,148653207,2,2,1594353654,1060182937,1,1,1470,104700928,3,3
1983,United Arab Emirates,1972-1991,216811042,230097512,3,3,355436657,861674758,2,2,NA,NA,NA,NA
1984,United Arab Emirates,1972-1991,267984494,234402097,3,3,684711022,717637757,2,2,NA,NA,NA,NA
1985,United Arab Emirates,1972-1991,462530407,232089993,3,2,458932428,570066796,2,3,NA,NA,NA,NA
1986,United Arab Emirates,1972-1991,238882961,244565548,3,3,297692261,462908753,2,2,NA,NA,NA,NA
1987,United Arab Emirates,1972-1991,536858338,242515289,2,2,652317829,497077647,1,1,26560109,154393571,3,3
1988,United Arab Emirates,1972-1991,539314578,321071130,2,1,518558081,684642839,1,2,65535927,227804225,3,3
1989,United Arab Emirates,1972-1991,658434978,480549465,2,1,573479839,1222957132,1,2,55400628,267444885,3,3
1990,United Arab Emirates,1972-1991,697248517,470717535,2,2,764890400,1001840753,1,1,28973055,316097816,3,3
1991,United Arab Emirates,1972-1991,918980885,801482871,2,1,691487865,1632727211,1,2,58367310,551301062,3,3
1992,United Arab Emirates,1992-2008,938773651,953278623,2,1,760308546,1731927848,1,2,66643324,643777567,3,3
1993,United Arab Emirates,1992-2008,768814778,1229034431,2,1,645743253,1978639372,1,2,104133497,799150902,3,3
1994,United Arab Emirates,1992-2008,1226144886,1251808424,2,1,346673312,1512359030,1,2,32989187,840154725,3,3
1995,United Arab Emirates,1992-2008,1124658896,1396278602,2,1,334205635,1889939730,1,2,110765269,1072484860,3,3
1996,United Arab Emirates,1992-2008,1184779065,1438897133,2,1,431368260,2412681269,1,2,61703029,1054388018,3,3
1997,United Arab Emirates,1992-2008,1350672158,1594185556,2,1,466283729,2492122432,1,2,70963990,1261655133,3,3
1998,United Arab Emirates,1992-2008,1467744635,1827570683,2,1,547737321,2266149844,1,2,145542168,1265347429,3,3
1999,United Arab Emirates,1992-2008,2162660145,2486817328,2,1,574162196,2658781956,1,2,188678994,1427100123,3,3
2000,United Arab Emirates,1992-2008,987914756,2388427910,1,1,794642223,2097438566,2,2,391888434,2050671216,3,3
2001,United Arab Emirates,1992-2008,855338517,2482648597,2,2,1033526845,2515145549,1,1,428095169,2359798903,3,3
2002,United Arab Emirates,1992-2008,805429687,3008339234,3,1,767144507,3441443523,1,2,412370184,3409375814,2,3
2003,United Arab Emirates,1992-2008,1412527244,4336559917,2,1,1002765081,3388138250,3,2,757993520,5002090337,1,3
2004,United Arab Emirates,1992-2008,3532060945,6393784609,2,1,985130746,3687051574,3,3,1275731960,6767069925,1,2
2005,United Arab Emirates,1992-2008,6909770595,12139222554,1,1,1579227313,7435368014,3,3,2052581515,10102542111,2,2
2006,United Arab Emirates,1992-2008,6956551580,11192359032,3,1,1192994753,11865562072,1,3,2607812644,11303802446,2,2
2007,United Arab Emirates,1992-2008,17173894596,19550946189,1,1,1290809309,11608037364,3,3,2788913951,17104968130,2,2
2008,United Arab Emirates,1992-2008,15242248067,15623775328,3,1,2042873068,18597865477,2,3,5240422643,28257973403,1,2
2009,United Arab Emirates,2009-2018,18332109472,25419412534,1,1,1481237820,12128886663,3,3,2506029715,18697624522,2,2
2010,United Arab Emirates,2009-2018,28675855466,27527863196,1,1,1121770192,11683806360,3,3,4362558058,21272647874,2,2
2011,United Arab Emirates,2009-2018,32857838340,37388550570,1,1,2372472204,15948113957,3,3,7766255605,26909940341,2,2
2012,United Arab Emirates,2009-2018,39764082840,46323597690,1,1,3795644983,34434478397,3,3,11108374348,42068175699,2,2
2013,United Arab Emirates,2009-2018,32353063486,39232399792,1,1,3857317638,32979462400,3,3,12705207934,36300379277,2,2
2014,United Arab Emirates,2009-2018,27165763515,39058504941,2,1,4032131201,30609374028,3,3,16017160363,42550764502,1,2
2015,United Arab Emirates,2009-2018,21125490078,37100518087,2,1,3951755313,31106785236,3,3,12237978919,41195894176,1,2
2016,United Arab Emirates,2009-2018,21261721222,37375976193,1,1,5246659704,32937075175,3,3,11723624427,35793638611,2,2
2017,United Arab Emirates,2009-2018,25522586303,35197944638,2,1,9569820820,32192170425,3,3,14916833347,53399555507,1,2
2018,United Arab Emirates,2009-2018,27997580619,31882099840,2,1,8963461113,29855848172,3,3,18870082123,43917689041,1,2
1962,Australia,1962-1971,44501016,31723352,3,3,270532181,396002352,2,2,NA,NA,NA,NA
1963,Australia,1962-1971,48003827,38874877,2,3,368786990,581522143,1,1,202006201,15276096,3,2
1964,Australia,1962-1971,45120364,43217589,2,3,324714635,826130414,1,1,155274364,22266428,3,2
1965,Australia,1962-1971,54989215,50790368,2,3,379196845,856403712,1,1,166845776,26013052,3,2
1966,Australia,1962-1971,49515373,34545933,2,3,458268107,865002406,1,1,82808551,25810075,3,2
1967,Australia,1962-1971,97257548,41174335,2,3,510618658,962631494,1,1,191629445,27332708,3,2
1968,Australia,1962-1971,54522538,40671029,2,3,674731601,1129051942,1,1,89461200,30783449,3,2
1969,Australia,1962-1971,39373281,35194436,3,3,833971654,1097123662,1,1,119031127,35748822,2,2
1970,Australia,1962-1971,47426511,38401933,2,3,677055064,1205553889,1,1,129149897,37392743,3,2
1971,Australia,1962-1971,46292804,41748199,3,2,747489096,1195133159,1,1,29440381,43309446,2,3
1972,Australia,1972-1991,52143757,41578365,3,2,962349829,1073876024,1,1,51117976,57082028,2,3
1973,Australia,1972-1991,64426299,62092979,3,3,1331536999,1685032513,1,1,142196133,90284754,2,2
1974,Australia,1972-1991,159112746,96744521,3,3,1250814479,2554440122,1,1,313602062,125031318,2,2
1975,Australia,1972-1991,144878193,62883681,3,3,1420610327,2176537291,1,1,329682951,93416827,2,2
1976,Australia,1972-1991,234293112,76420633,3,3,1631331773,2562611757,1,1,273355187,106615425,2,2
1977,Australia,1972-1991,126782397,100460794,3,3,1413986458,2832689947,1,1,469193399,129607132,2,2
1978,Australia,1972-1991,69944559,75407410,3,3,1806052383,2690473759,1,1,471981956,150316661,2,2
1979,Australia,1972-1991,169094748,129382821,3,3,2638875937,4452518848,1,1,767719658,187737909,2,2
1980,Australia,1972-1991,212936012,128113336,3,3,3090248864,4912100126,1,1,801715926,238865677,2,2
1981,Australia,1972-1991,217610337,137089513,3,3,3137616498,6421861907,1,1,649311480,287656980,2,2
1982,Australia,1972-1991,392062704,130669337,3,3,2836112620,5625620660,1,1,756762935,279771132,2,2
1983,Australia,1972-1991,220830266,140517449,3,3,2513616643,4721970317,1,1,410480952,231260689,2,2
1984,Australia,1972-1991,201280640,158291233,3,3,3054322166,5492319850,1,1,753191769,325637712,2,2
1985,Australia,1972-1991,468033051,147569557,3,3,3025197706,5992877254,1,1,844588301,292299323,2,2
1986,Australia,1972-1991,450379472,156210182,3,3,2895193181,6681265815,1,1,977872414,336436888,2,2
1987,Australia,1972-1991,521223351,169445442,3,3,3474022265,6760737812,1,1,1773922311,634503882,2,2
