year,China_export_points_1,China_export_points_2,China_export_points_NA,China_import_points_1,China_import_points_2,China_import_points_3,China_import_points_NA,India (excludes Sikkim until 1975)_export_points_1,India (excludes Sikkim until 1975)_export_points_2,India (excludes Sikkim until 1975)_export_points_3,India (excludes Sikkim until 1975)_import_points_1,India (excludes Sikkim until 1975)_import_points_2,India (excludes Sikkim until 1975)_import_points_3,"USA, Puerto Rico and US Virgin Islands (excludes Virgin Islands until 1981)_export_points_1","USA, Puerto Rico and US Virgin Islands (excludes Virgin Islands until 1981)_export_points_2","USA, Puerto Rico and US Virgin Islands (excludes Virgin Islands until 1981)_export_points_3","USA, Puerto Rico and US Virgin Islands (excludes Virgin Islands until 1981)_export_points_NA","USA, Puerto Rico and US Virgin Islands (excludes Virgin Islands until 1981)_import_points_1","USA, Puerto Rico and US Virgin Islands (excludes Virgin Islands until 1981)_import_points_2","USA, Puerto Rico and US Virgin Islands (excludes Virgin Islands until 1981)_import_points_3","USA, Puerto Rico and US Virgin Islands (excludes Virgin Islands until 1981)_import_points_NA",India (excludes Sikkim until 1975)_export_points_NA,India (excludes Sikkim until 1975)_import_points_NA,China_export_points_3
1962,4,5,18,7,1,1,18,18,8,1,19,7,1,5,12,8,2,1,17,7,2,NA,NA,NA
1963,4,6,18,6,3,1,18,17,8,2,20,6,1,7,10,8,3,2,15,8,3,1,1,NA
1964,7,4,18,6,4,1,18,17,8,3,21,6,1,5,13,8,3,2,15,9,3,1,1,NA
1965,4,5,18,5,5,2,18,19,8,2,21,6,2,7,13,7,3,4,15,8,3,1,1,3
1966,4,8,17,6,5,2,17,20,5,4,21,7,1,6,13,8,3,3,14,10,3,1,1,1
1967,5,8,17,5,5,3,17,21,4,4,23,5,1,4,14,9,3,2,16,9,3,1,1,NA
1968,7,7,15,7,6,2,15,18,6,5,20,8,1,5,13,9,3,3,12,12,3,1,1,1
1969,6,7,16,5,8,1,16,18,7,4,21,6,2,6,12,9,3,4,12,11,3,1,1,1
1970,9,7,14,10,7,1,14,16,9,5,18,10,2,7,10,11,4,4,9,15,4,2,2,2
1971,8,8,15,7,10,1,15,21,7,4,23,8,1,4,12,12,5,3,9,16,5,1,1,2
1972,12,8,13,10,10,1,13,17,11,4,21,10,1,5,12,15,2,3,11,18,2,2,2,1
1973,13,4,14,7,11,2,14,18,12,2,25,7,NA,3,15,14,2,2,13,17,2,2,2,3
1974,11,8,11,12,6,5,11,20,10,2,20,12,NA,3,13,16,2,2,13,17,2,2,2,4
1975,13,5,9,13,10,2,9,19,13,1,19,14,NA,2,13,17,2,2,7,23,2,1,1,7
1976,15,8,8,18,9,NA,8,18,14,1,14,17,2,2,9,22,2,3,5,25,2,2,2,4
1977,17,8,8,15,10,1,8,15,14,3,15,17,NA,2,9,22,1,4,4,25,1,2,2,1
1978,13,11,10,12,11,2,10,16,13,3,18,11,3,6,8,21,NA,5,10,20,NA,3,3,1
1979,14,9,10,13,12,NA,10,17,14,2,19,12,2,4,10,21,NA,3,9,23,NA,2,2,2
1980,15,10,8,16,10,1,8,16,15,2,14,19,NA,5,8,22,NA,5,4,26,NA,2,2,2
1981,19,7,9,11,14,1,9,13,16,4,21,11,1,5,9,21,NA,3,8,24,NA,2,2,NA
1982,15,8,11,12,12,NA,11,18,11,3,20,11,1,3,13,19,NA,3,9,23,NA,3,3,1
1983,13,8,13,10,11,1,13,17,14,3,23,10,1,6,12,17,NA,2,13,20,NA,1,1,1
1984,16,6,12,13,9,1,12,15,14,5,20,13,1,5,14,16,NA,2,12,21,NA,1,1,1
1985,16,5,14,10,10,1,14,14,15,5,21,13,NA,5,14,16,NA,4,11,20,NA,1,1,NA
1986,14,6,15,8,11,1,15,16,13,4,22,11,NA,5,14,16,NA,5,11,19,NA,2,2,NA
1987,18,14,2,13,18,2,2,13,17,3,20,11,2,4,3,28,NA,2,5,28,NA,2,2,1
1988,13,17,2,9,21,3,2,18,11,5,25,8,1,5,6,24,NA,1,5,29,NA,1,1,3
